#dataset:Participant	MFR	VRX	VRY	VRZ	ROW	COL	TUC	KVP	CKL	SLL	NUM	MEAN	RNG	VAR	CV	CPP	PSNR	SNR1	SNR2	SNR3	SNR4	CNR	CVP	CJV	EFC	FBER	TSNEX	TSNEY	UMAPX	UMAPY
UHIO1-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-617.5	161	373.8017252	2366.4375	176166.9291	122.2903576	0.00019801	16.7497364	1890369818	9545000106	7.380536659	1.27949E+11	127949316.2	0.207383715	1.341088679	1.547834463	170900073.2	32.42095184	8.115229607	3.1874363	-14.76168
UHIO116-01	Philips	0.45	0.45	3	678	720	N/A	120	B	N/A	108	781.7695053	2384.439252	150609.5828	51.8922792	0.048671166	9.337327001	8.909055042	35.12547576	6.505135242	6.38011E+11	638010849.6	N/A	0.618052196	2.905056609	674.6968959	0.648955226	71.70709991	1.2027518	-15.438884
UHIO10-01	Philips	0.771484375	0.771484375	2	512	512	N/A	120	C	-9.1	363	653.4130372	2350.09116	206075.9022	71.08416508	0.138121771	11.37807779	14.73750138	45.12744165	5.526770737	4.49289E+11	449289187.2	0.256155666	0.796947791	2.489921615	1022.583671	71.01968384	9.971006393	1.297332	-16.142574
UHIO13-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-985.8	194	654.5223178	2464.373057	184670.1676	76.92001232	0.012898218	14.43784832	7.847173659	31.77805335	5.511168118	3.89549E+11	389549456.8	0.240884854	0.990507766	1.906452237	468570026	3.785981417	33.18513489	1.4868244	-14.41399
UHIO100-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-862.5	176	552.1471877	2831.937143	191834.1576	98.44054783	0.022535068	16.80279945	6452864054	39448228886	6.29382592	7.23462E+11	723462415.7	0.387849316	1.143237399	1.684274023	680388719.2	-42.66650009	-9.22206974	2.2976432	-14.183023
UHIO105-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-837.5	156	647.8030119	3317.032258	199765.309	76.74820181	0.00932184	17.51573904	8.80751712	21.32864201	4.827432679	2.8015E+11	280150469.6	0.474921556	0.947531585	1.723016948	358838888.4	-3.62168932	-43.52651596	3.3098388	-15.616208
UHIO112-01	Philips	0.7109375	0.7109375	2	512	512	N/A	120	L	-488	301	571.5760202	3793.746667	279172.5849	92.82972715	0.19706089	15.66128559	11.46835021	25.69764103	3.289209992	1.10899E+11	110898951.2	0.415652641	1.080993823	2.277059326	428.7680707	-3.632401705	-4.17170763	2.0434422	-16.411417
UHIO121-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-895.3	171	615.2707852	2282.594118	175938.3959	75.71414633	0.000101911	15.01250033	8.997247278	29.56046721	6.239661845	5.4828E+11	548280033.4	0.195815368	0.991929676	1.69407874	187.5014006	-36.58440018	35.80441284	2.0980368	-15.02054
UHIO122-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-706.5	171	560.6740796	2638.211765	172465.0654	87.47840481	2.53E-05	15.71962389	22.36675558	81.23034072	5.055631355	3.65486E+11	365486423.3	0.342997627	0.954818887	1.850490884	111765800	44.39138031	50.61538315	2.7807078	-16.147638
UHIO137-01	Philips	1.171875	1.171875	5	512	512	N/A	120	B	-315	159	665.7545447	2679.310127	169810.994	67.28790342	0	15.44018757	7.947023555	21.75258726	5.58080939	3.31599E+11	331599510.8	N/A	0.88603094	1.811632398	151.0009489	40.23580933	-31.59166527	2.4288492	-15.52496
